ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21634,HX499040,11/07/2014 09:12:00 PM,065XX N SEELEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,2412,024,50,2,01A,1161407,1943278,2014,11/14/2014 12:42:07 PM,42.000037823,-87.681573248,"(42.000037823, -87.681573248)"
21629,HX497952,11/07/2014 01:28:00 AM,073XX S BLACKSTONE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0324,003,5,43,01A,1187438,1856520,2014,11/14/2014 12:42:07 PM,41.761387393,-87.58858223,"(41.761387393, -87.58858223)"
21628,HX496739,11/06/2014 03:27:00 AM,079XX S ESSEX AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0422,004,7,46,01A,1194190,1853007,2014,11/13/2014 12:42:15 PM,41.751584373,-87.563951183,"(41.751584373, -87.563951183)"
21627,HX496211,11/05/2014 05:43:00 PM,001XX S PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,false,false,1122,011,28,26,01A,1149798,1898810,2014,11/12/2014 12:43:36 PM,41.878248505,-87.725440356,"(41.878248505, -87.725440356)"
21638,HX370386,11/05/2014 02:03:00 PM,007XX E 83RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0631,006,6,44,01A,1182498,1850158,2014,11/12/2014 12:43:36 PM,41.744045329,-87.60688442,"(41.744045329, -87.60688442)"
21626,HX495137,11/04/2014 07:17:00 PM,006XX N AVERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,1122,011,27,23,01A,1150645,1904123,2014,11/11/2014 12:41:33 PM,41.892811441,-87.722191408,"(41.892811441, -87.722191408)"
21625,HX492968,11/03/2014 09:08:00 AM,007XX S KARLOV AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,011,24,26,01A,1149124,1896503,2014,11/10/2014 12:43:02 PM,41.871930906,-87.727974897,"(41.871930906, -87.727974897)"
21624,HX492726,11/03/2014 12:49:00 AM,030XX E CHELTENHAM PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,0421,004,7,43,01A,1197611,1853396,2014,11/10/2014 12:43:02 PM,41.752567186,-87.551402161,"(41.752567186, -87.551402161)"
21623,HX491772,11/02/2014 04:47:00 AM,015XX W 72ND PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0734,007,17,67,01A,1167037,1856683,2014,11/09/2014 12:40:04 PM,41.762295042,-87.663348775,"(41.762295042, -87.663348775)"
21622,HX491289,11/01/2014 08:07:00 PM,067XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0724,007,17,68,01A,1170765,1860164,2014,11/08/2014 12:38:00 PM,41.771766847,-87.64958373,"(41.771766847, -87.64958373)"
21621,HX489921,10/31/2014 08:02:00 PM,052XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,false,false,1522,015,29,25,01A,1141201,1899476,2014,11/07/2014 12:42:06 PM,41.880238847,-87.756990572,"(41.880238847, -87.756990572)"
21630,HX370312,10/31/2014 12:00:00 AM,019XX S KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1012,010,24,29,01A,1147986,1890211,2014,11/08/2014 12:38:00 PM,41.854686834,-87.732314725,"(41.854686834, -87.732314725)"
21619,HX487074,10/29/2014 05:08:00 PM,006XX E 111TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0531,005,9,50,01A,1182480,1831444,2014,11/20/2014 12:38:10 PM,41.692692237,-87.60752844,"(41.692692237, -87.60752844)"
21618,HX486857,10/29/2014 02:45:00 PM,0000X N LOREL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,1522,015,28,25,01A,1140671,1899971,2014,11/05/2014 12:45:59 PM,41.88160694,-87.758924536,"(41.88160694, -87.758924536)"
21617,HX484014,10/28/2014 06:26:00 AM,047XX N CLARENDON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,false,false,1914,019,46,3,01A,1170090,1931978,2014,11/04/2014 12:43:25 PM,41.968844586,-87.649962336,"(41.968844586, -87.649962336)"
21615,HX484501,10/27/2014 11:50:00 PM,008XX E 87TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0632,006,8,44,01A,1183674,1847190,2014,11/03/2014 12:40:32 PM,41.735873488,-87.602667821,"(41.735873488, -87.602667821)"
