geoid,canopy_coverage,total_tract_area,percent_covered
17031191302,64836.8861820744,631191.318945492,0.1027214479
17031190602,95183.4170227255,621353.209732591,0.1531872943
17031840200,41934.0997327883,831093.824417948,0.0504565171
17031530501,343318.234152545,1296491.81229808,0.2648055552
17031831400,141561.812631391,2104284.63445991,0.0672731295
17031831300,50761.7941352267,576172.995599671,0.0881016544
17031833000,64791.6761863504,1312664.5475253,0.0493588985
17031760801,296515.983927579,1300580.16947901,0.2279874712
17031020701,187303.830407016,591392.963455198,0.3167163662
17031010501,45747.7236205162,202152.074964516,0.2263035075
17031252101,243101.74800867,850097.645671223,0.2859692051
17031252102,100686.590313937,668485.628030091,0.1506189304
17031252202,96287.7899593105,637446.878784928,0.1510522573
17031220601,33616.5800806514,189119.502984112,0.1777531114
17031210502,44100.0018619037,345944.926130268,0.1274769437
17031220602,77746.7801717053,464796.4278716,0.167270606
17031220901,36572.6777781951,293285.868160228,0.1246997614
17031220902,47268.1381855447,330305.133762086,0.1431044612
17031200401,59960.4187528831,402814.290045778,0.1488537528
17031200402,46546.702785222,386204.30581456,0.1205235211
17031191301,87003.6523485543,674993.412668059,0.1288955577
17031190601,160384.366192856,690031.140332586,0.2324306206
17031190701,28167.0982904623,277868.140521809,0.1013685781
17031190702,60712.5968594065,383491.865053476,0.1583152145
17031190401,71567.6134362784,655473.243944843,0.109184645
17031190402,94777.1300475461,653980.195381148,0.1449235477
17031832100,35798.1678819138,222084.723809037,0.1611914916
17031843800,134521.167587389,1309513.92665835,0.1027260305
17031842800,124134.04125529,1516562.30006531,0.0818522531
17031980100,13095.8651380859,2961318.09279965,0.0044223095
17031833300,91150.2826367687,477828.073186395,0.1907595802
17031832900,103042.374657082,401289.458081055,0.2567781749
17031838000,72927.7656163356,537837.152167968,0.1355945109
17031838100,71822.3513730497,822114.068690153,0.087363
17031833100,75956.1623444327,922172.635449143,0.0823665325
17031839100,20977.3799022629,1186062.84776529,0.0176865669
17031030706,80311.7022273743,581936.065869113,0.138007776
17031150401,138818.726605015,738023.65704759,0.1880952261
17031150501,150071.502395948,698785.866477963,0.2147603574
17031842900,146108.033416338,2208286.52554044,0.0661635307
17031841900,123332.514412127,2564977.53420362,0.0480832728
17031843000,85680.321908571,1065156.43138723,0.0804391913
17031842100,215598.670979146,2034640.76497837,0.1059639985
17031080201,25740.1925886479,135302.92597834,0.1902412117
17031070101,158702.890488867,1197873.36140532,0.1324872024
17031063301,13453.3424225664,93852.9896695788,0.1433448468
17031063303,61423.8987683816,236592.382746529,0.2596190886
17031081201,9839.7761654866,185123.128196772,0.0531526031
17031081202,31429.8122526915,735022.504182461,0.0427603401
17031040402,128994.44280687,602582.738652305,0.2140692631
17031220702,71745.4999307578,575194.967447635,0.124732489
17031842200,76499.994228744,1565695.5093841,0.0488600713
17031842300,88289.8219815537,1872231.82553133,0.0471575265
17031843700,154717.019496923,1263069.68941417,0.1224928607
17031835000,86963.1594805303,1004078.0565185,0.0866099592
17031835100,128080.806165753,1003889.39575684,0.1275845792
17031834700,154599.681542683,657991.901997243,0.2349568149
17031151001,51041.103211157,330132.630526255,0.1546078712
17031151002,79863.4051035048,637150.739088284,0.1253446009
17031160602,122404.832716165,518378.28452941,0.2361303248
17031140601,61411.4063474964,272125.277407837,0.2256732889
17031140701,28747.0355887701,228325.895131653,0.1259035274
17031140602,79386.0500979519,384381.939278519,0.2065290847
17031140301,30077.7090160457,164127.427791208,0.1832582733
17031841800,419006.112673344,1643117.36026589,0.2550068077
17031842500,63433.1359001665,1075342.38194206,0.0589887807
17031842600,246582.794805206,3679424.26510824,0.067016679
17031843500,220558.391672405,2032655.00809644,0.1085075386
17031843400,59873.5095406936,656155.777606547,0.0912489253
17031843200,89769.6059914851,3162060.02548995,0.0283895958
17031140302,115825.200925007,421893.257306781,0.2745367434
17031110501,166114.37446735,791607.717625331,0.209844309
17031110502,110585.400369527,649188.417641325,0.1703440748
17031760802,4274898.65687996,6213668.44564616,0.6879830642
17031150502,148416.909080639,684581.20173502,0.2167995684
17031843100,294142.966765524,1012678.14905043,0.2904604657
17031834300,437996.289915449,1909305.6438749,0.229400825
17031843900,428511.652212212,2211633.07341989,0.1937535016
17031831200,65758.975827606,574946.217095389,0.1143741343
17031831600,269745.830166254,1488842.39373409,0.1811782303
17031831500,76620.4963905701,968250.226902965,0.0791329496
17031831100,153206.893303687,1315153.72931635,0.1164935246
17031831700,71430.6834726913,532281.004727902,0.1341973184
17031440202,171940.585811317,781698.656206019,0.2199576326
17031440102,135353.97378672,627504.386744822,0.2157020359
17031430102,115393.253568213,999258.580259103,0.1154788719
17031030702,91.4756371493,8298.5775141197,0.0110230503
17031030603,13816.9349532477,115999.767782372,0.1191117467
17031030701,7401.1437900169,69877.3642712012,0.1059161843
17031840800,41102.7790202454,328680.996359718,0.1250537131
17031836300,30272.8069376729,137520.133824137,0.220133635
17031838300,28154.7619146618,348133.510546757,0.0808734611
17031839800,24569.5077254998,266174.039455575,0.092306176
17031836600,64087.4396800525,634176.645826981,0.1010561333
17031730202,102142.935867155,876170.068109524,0.1165788921
17031430101,42662.4697423583,329505.068330904,0.1294743961
17031063302,17343.5477711047,121199.428609785,0.1430992536
17031836200,185805.871135664,813725.169378367,0.2283398353
17031840100,24573.1136263637,335805.534690127,0.0731766189
17031580502,55172.0447925482,494418.242981808,0.1115898242
17031841400,28455.0312518098,238636.877263168,0.1192398743
17031081401,20180.343210866,279854.835212185,0.0721100395
17031081403,23166.3040396924,1819083.04634986,0.0127351547
17031030703,31751.0292545152,198287.957745921,0.1601258574
17031836000,63932.8246163442,505740.355498764,0.1264143229
17031835800,34187.6874787004,284424.36331659,0.1201995746
17031835900,95002.367188442,647443.381230618,0.1467346334
17031834500,60584.5903259642,464133.864704711,0.1305325789
17031843600,58876.2963464471,410893.137438534,0.1432885852
17031834600,301600.161894369,1562236.34111858,0.1930566803
17031831800,484286.506324832,1903566.62537909,0.2544100637
17031832600,90989.2072231601,721625.305998404,0.1260892689
17031061901,25730.8155860934,160610.10689178,0.1602067023
17031770602,42275.9308231068,5541130.92186404,0.007629477
17031839700,67559.6959904589,648638.352880564,0.1041561846
17031839900,89169.8334767234,1179548.38508723,0.0755965882
17031835200,50869.7194855872,988536.909562859,0.0514596056
17031838800,2487990.56695359,21640424.3268759,0.1149695833
17031833900,134279.056555928,706312.751062304,0.1901127459
17031836800,206143.514789757,816016.021852838,0.2526218962
17031836700,107399.154853087,1227837.64448022,0.0874701597
17031832200,57806.4438649723,399384.372421579,0.1447388728
17031831000,41947.5620324675,281988.417480414,0.1487563298
17031832400,38693.434626463,323051.743835536,0.1197747276
17031770902,900.3503956395,1164792.9612163,0.0007729703
17031660301,17042.441761393,163781.648043876,0.1040558693
17031660302,55025.2057741267,491838.719211291,0.111876523
17031252201,62327.3088931046,386788.236522082,0.1611406527
17031070103,12682.5535951116,69092.4823655048,0.1835590959
17031220701,37264.0273438917,266384.417626607,0.1398881649
17031834000,201435.517972208,988762.702407239,0.2037248346
17031834200,153209.220907507,975449.252837766,0.1570652912
17031835500,97571.100117968,914489.674922479,0.1066945891
17031839500,40729.2881819585,262519.673414775,0.1551475653
17031839200,110992.053418588,650885.372462888,0.1705247316
17031840400,68863.2051836403,982644.198601322,0.0700794909
17031841000,74230.384371332,1353146.92582127,0.0548575938
17031301802,53769.8585388496,345010.436138089,0.155849948
17031730201,171781.210003953,999818.859682986,0.1718123321
17031580501,50274.6370585694,492118.07993692,0.1021597033
17031700302,111069.704514591,1319647.22438163,0.0841662093
17031700402,178120.274957142,1148946.32040651,0.1550292401
17031700401,222740.808264062,1482527.49644986,0.1502439643
17031830500,366718.339173793,4113599.01263411,0.089147809
17031841700,40710.8644246752,266796.835661743,0.1525912567
17031841600,26992.3386707863,159366.679366639,0.1693725362
17031840700,64323.1204923112,541527.017835825,0.1187809996
17031841300,94159.8688515763,1410350.20535516,0.0667634666
17031301801,72467.2216181242,694637.184743452,0.1043238445
17031530502,285860.841047144,807965.011655935,0.3538034902
17031071400,172670.099015729,1323880.53130233,0.1304272515
17031071600,47293.7595336542,162133.798972562,0.2916958699
17031832300,74093.294319422,840150.294383875,0.0881905235
17031832500,95357.8314157931,783013.058009531,0.1217831943
17031832000,18947.3098480843,167584.915961461,0.1130609503
17031030104,10847.7761130698,181021.946059363,0.0599251988
17031030101,16446.9184425325,238051.870642754,0.0690896417
17031160601,91545.1529741857,397111.952687779,0.2305273169
