"geoid10","resid","expression","callsXtree","covered"
"17031080300",-1.6804518700452,Inf,2.60948453878202e-05,0.117692922463012
"17031080400",-2.39380402672162,NA,0,0.103616931826368
"17031081000",-2.89766746557631,NA,0,0.16593684217358
"17031081100",-1.00891438726238,NA,0,0.0702649284041974
"17031081201",-0.891806612298835,NA,0,0.0331331298468551
"17031081202",-1.58821450014762,NA,0,0.120403181335742
"17031081300",-1.2291190983493,NA,0,0.0569681487293204
"17031081401",-0.773021654434738,NA,0,0.0380166410846964
"17031081402",-1.00755593608359,NA,0,0.0504490130785091
"17031081403",-1.14433677561406,NA,0,0.0284994173032756
"17031081500",-0.911954494098847,NA,0,0.0376750177034965
"17031081600",-0.491510102252635,NA,0,0.0172148281319031
"17031081700",-0.793662724713569,NA,0,0.030078154408667
"17031081800",-1.49278759994531,NA,0,0.0283044350125517
"17031081900",-1.45774916524649,NA,0,0.129598190076366
"17031090100",0.763219321018204,Inf,0.000102251483398221,0.181384166243014
"17031090200",4.30494514828619,Inf,0.000192475945874858,0.247383473987867
"17031090300",3.08219909166414,Inf,0.000169548201185698,0.234879985806428
"17031100100",2.01443204510575,Inf,0.000153286755424124,0.200917949799405
"17031100200",6.38541068686285,Inf,0.000244765704021389,0.221819954048762
"17031100300",2.47602415053977,Inf,0.000140487132565289,0.30336305690155
"17031100400",7.43675717572854,Inf,0.000290775300692925,0.209951720361867
"17031100500",4.9890674706961,Inf,0.000204116483351985,0.171198403837773
"17031100600",5.73947895412104,Inf,0.000248383871645751,0.190401728970904
"17031100700",6.19245756638466,Inf,0.000256591670317718,0.179340399168475
"17031110100",-5.481791745046,Inf,2.98380913166814e-05,0.303638677702549
"17031110200",-1.51524994324516,Inf,3.26493314426037e-05,0.140688873198332
"17031110300",1.4468710806784,Inf,0.000131255687997637,0.175527153366831
"17031110400",1.87799647062825,Inf,0.000151080181208749,0.186979851798693
"17031110501",2.55043782594563,Inf,0.00016541456273172,0.217697368844192
"17031110502",0.683478243561716,Inf,0.000110283104708342,0.188888707747437
"17031120100",-6.36512248806179,Inf,3.49301674754069e-05,0.525559848154783
"17031120200",-11.0374453441198,Inf,7.43815335748572e-06,0.468188029402425
"17031120300",-5.78357781121038,Inf,4.1193955750189e-05,0.348957983204152
"17031120400",-2.4720514891103,Inf,4.51792733217047e-05,0.31019591453273
"17031130100",-8.42600912851616,Inf,1.81761809319127e-05,0.404871139525651
"17031130200",-5.71527740863576,Inf,5.56422867131997e-06,0.376834475817155
