geoid,B17001001 - Total:,B17001002 - Income in the past 12 months below poverty level:,B19057001 - Total:,B19057002 - With public assistance income,B11001002 - Family households:,"B11001006 - Female householder, no husband present",B23025003 - Civilian labor force:,B23025005 - Unemployed,B02001001 - Total:,B02001003 - Black or African American alone,B03001001 - Total:,B03001003 - Hispanic or Latino:,B05002001 - Total:,B05002009 - Born outside the United States:,B07001001 - Total:,B07001017 - Same house 1 year ago:,B25003001 - Total:,B25003002 - Owner occupied
14000US17031411100,1984,278,963,5,519,60,1116,77,2227,120,2227,32,2227,13,2192,1643,963,461
14000US17031411200,1802,359,774,7,463,13,1027,46,1840,233,1840,17,1840,14,1831,1606,774,400
14000US17031420100,1245,533,709,82,232,142,448,57,1245,1158,1245,40,1245,0,1228,1034,709,40
14000US17031420200,1346,334,659,42,295,152,731,126,1591,1027,1591,26,1591,13,1591,1088,659,122
14000US17031420300,1184,366,509,39,225,54,971,191,2058,911,2058,54,2058,48,2036,1411,509,139
14000US17031420400,1363,528,649,0,325,158,769,76,1363,727,1363,92,1363,28,1359,1148,649,140
14000US17031420500,2228,1058,994,130,461,295,870,270,2228,2090,2228,7,2228,0,2228,1957,994,129
14000US17031420600,1607,988,656,29,334,260,610,266,1607,1529,1607,0,1607,7,1607,1346,656,74
14000US17031420700,2985,1211,1168,94,631,444,1177,344,2995,2849,2995,31,2995,0,2936,2243,1168,253
14000US17031420800,2294,839,781,37,518,361,1058,337,2294,2183,2294,23,2294,6,2280,1927,781,172
14000US17031421200,1641,522,630,0,257,99,774,223,1641,1625,1641,16,1641,0,1612,1344,630,221
14000US17031430101,4233,743,1627,118,962,728,2283,527,4233,3762,4233,10,4233,0,4085,3121,1627,254
14000US17031430102,3262,803,1869,54,493,201,1745,266,3262,3157,3262,15,3262,0,3237,2492,1869,460
14000US17031430200,4467,2204,2203,209,1015,691,2168,652,4467,4229,4467,134,4467,3,4417,3325,2203,326
14000US17031430300,2410,930,864,40,498,321,1073,160,2410,2365,2410,0,2410,13,2353,1988,864,155
14000US17031430400,3209,1318,1102,80,577,293,1363,503,3265,3123,3265,21,3265,0,3225,2669,1102,371
14000US17031430500,3438,1426,1688,111,678,388,1507,338,3468,3349,3468,50,3468,10,3452,2874,1688,232
14000US17031430600,1774,473,728,48,443,220,932,166,1774,1699,1774,0,1774,0,1702,1448,728,243
14000US17031430700,2390,826,1221,96,396,190,1513,290,2567,2412,2567,31,2567,13,2509,1908,1221,262
14000US17031430800,1769,440,753,39,458,164,1023,196,1781,1692,1781,13,1781,15,1762,1302,753,285
14000US17031430900,1439,392,679,72,312,126,624,141,1445,1419,1445,0,1445,0,1434,1118,679,189
14000US17031431200,2927,263,1109,35,751,332,1391,325,3019,2889,3019,81,3019,86,3011,2901,1109,846
14000US17031431301,3103,1465,1245,90,668,495,1530,458,3115,2941,3115,31,3115,0,3061,2180,1245,197
14000US17031431302,3310,1159,1409,127,701,628,1417,316,3343,3124,3343,147,3343,22,3266,2298,1409,150
14000US17031431400,6078,1832,3303,139,1127,570,2959,488,6472,6036,6472,142,6472,25,6391,4788,3303,618
14000US17031440101,3764,1569,1544,164,858,503,1769,589,3764,3708,3764,48,3764,20,3653,2989,1544,270
14000US17031440102,2969,1027,1645,77,583,375,1487,403,2969,2944,2969,7,2969,0,2948,2602,1645,233
14000US17031440201,5449,1574,2355,95,1234,949,2819,680,5555,5479,5555,11,5555,48,5480,4683,2355,322
14000US17031440202,3564,964,1603,8,874,454,1543,360,3588,3496,3588,8,3588,70,3566,2974,1603,537
14000US17031440300,4496,531,2040,26,1067,467,2242,406,4496,4247,4496,1,4496,58,4459,3839,2040,1131
14000US17031440600,2155,492,795,25,463,207,1060,206,2155,2119,2155,9,2155,0,2155,2097,795,683
14000US17031440700,1589,430,623,38,372,153,764,192,1589,1557,1589,0,1589,29,1576,1469,623,468
14000US17031440800,2006,820,790,39,481,365,844,207,2029,2002,2029,22,2029,0,1999,1603,790,190
14000US17031440900,2248,298,897,7,499,289,944,217,2299,2282,2299,20,2299,0,2299,2188,897,474
14000US17031450300,3610,701,1473,62,901,340,1738,427,3610,3431,3610,34,3610,0,3575,3281,1473,1046
14000US17031460100,3389,1084,1291,84,697,286,1657,286,3389,2543,3389,866,3389,0,3339,2641,1291,453
14000US17031460200,2422,998,785,42,475,274,953,218,2422,1195,2422,1054,2422,35,2346,1961,785,224
14000US17031460301,3101,1040,1041,27,746,310,1556,430,3101,2140,3101,905,3101,63,3050,2122,1041,543
14000US17031460302,3348,1474,1153,82,780,410,1349,450,3348,3056,3348,175,3348,44,3325,2809,1153,344
14000US17031460400,3299,588,1307,113,817,420,1448,191,3308,3280,3308,0,3308,0,3281,3027,1307,624
14000US17031460500,4899,539,2162,29,1354,723,2189,368,4899,4677,4899,40,4899,71,4899,4495,2162,1421
14000US17031460600,1115,482,389,34,227,111,461,120,1115,894,1115,150,1115,0,1091,855,389,178
14000US17031460700,3039,1807,829,57,640,300,1004,377,3073,1712,3073,1244,3073,30,2997,2157,829,100
14000US17031461000,1927,857,868,57,351,118,582,120,1947,1135,1947,795,1947,9,1922,1586,868,131
14000US17031470100,2837,1245,962,54,560,268,1049,210,2837,2819,2837,0,2837,18,2825,2451,962,478
14000US17031480100,1908,221,870,0,525,184,873,125,1908,1860,1908,11,1908,0,1889,1764,870,689
14000US17031480200,1289,228,591,17,321,153,696,191,1292,1286,1292,0,1292,0,1292,1219,591,334
14000US17031480300,1198,234,554,37,310,174,541,151,1199,1145,1199,67,1199,0,1199,1130,554,370
14000US17031480400,6378,616,2398,81,1736,751,3036,686,6378,6206,6378,56,6378,0,6378,6168,2398,2124
14000US17031480500,3077,655,1073,57,761,358,1222,236,3077,2481,3077,555,3077,64,3033,2442,1073,755
